what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383023369924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023373650
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023375467
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383023380697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023393102
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023400011
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383023407098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383023426116
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383023429227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023434377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023435235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023435450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023440125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023442585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023455250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023457679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023460697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023465241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023564658
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1383023570300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1383023571498
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383023573515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383023578947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383023593089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023595098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383023611792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383023619808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383023622124
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383023625487
