what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432642356461
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432642357966
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1432642357983
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1432642358100
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.closeAll",1432642358236
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CView",1432642359768
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1432642368135
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1432642368159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.maximizePart",1432642369973
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432642372710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1432642372727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432642374653
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1432642538691
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1432642538858
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1432642539280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432642561541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432644359979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432644365632
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736661272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.maximizePart",1432736664178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736670716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736705863
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CView",1432736709675
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1432736714716
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1432736714737
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.maximizePart",1432736716148
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1432736718400
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1432736719315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736723084
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1432736723114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736725834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.activateEditor",1432736726557
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1432736728320
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736797091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736798614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736846121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736851780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736862391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736876813
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736878308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432736971041
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1432736973480
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1432736973605
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1432736973714
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432737222136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880591983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.maximizePart",1432880593418
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CView",1432880595568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880601430
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1432880604248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880612707
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1432880619634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880621006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1432880623992
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1432880624562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880625886
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1432880625896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880626963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880633190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1432880634364
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1432880635553
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1432880635567
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.maximizePart",1432880636514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880638415
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880639230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880639447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880654420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880656314
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1432880656336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880661352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880662742
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1432880662761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432880667744
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1432880707699
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1432880708048
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1432880708206
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1432880708480
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1432880708615
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1432880708767
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1432880708900
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1432880709058
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1432880709213
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1432880709406
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1432880762972
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1432880763111
